cid,iupac_name,canonical_smiles,mol_wt_rdkit,heavy_atom_count,C_count,O_count,N_count,S_count,halogen_count,aromatic_ring_count,library_canonical_check,in_qm9
670488,(E)-2-acetamido-N-(furan-2-ylmethyl)-3-phenylprop-2-enamide,CC(=O)NC(=CC1=CC=CC=C1)C(=O)NCC2=CC=CO2,284.315,21,16,3,2,0,0,2,CC(=O)NC(=Cc1ccccc1)C(=O)NCc1ccco1,False
116740,"2,6,9,10-tetramethyl-1-oxaspiro[4.5]deca-3,6-diene",CC1CC=C(C2(C1C)C=CC(O2)C)C,192.302,14,13,1,0,0,0,0,CC1=CCC(C)C(C)C12C=CC(C)O2,False
26226,"4-[2-(cyclopentylamino)-1-hydroxyethyl]benzene-1,2-diol",C1CCC(C1)NCC(C2=CC(=C(C=C2)O)O)O,237.29900000000004,17,13,3,1,0,0,1,Oc1ccc(C(O)CNC2CCCC2)cc1O,False
777573,methyl 2-[4-thiophen-2-yl-6-(trifluoromethyl)pyrimidin-2-yl]sulfanylacetate,COC(=O)CSC1=NC(=CC(=N1)C(F)(F)F)C2=CC=CS2,334.344,21,12,2,2,2,3,2,COC(=O)CSc1nc(-c2cccs2)cc(C(F)(F)F)n1,False
288390,methyl 4-[2-(1H-indol-3-yl)ethyl-methylamino]-4-oxobutanoate,CN(CCC1=CNC2=CC=CC=C21)C(=O)CCC(=O)OC,288.34700000000004,21,16,3,2,0,0,2,COC(=O)CCC(=O)N(C)CCc1c[nH]c2ccccc12,False
256788,"4,7-diamino-2-methylsulfanylpteridine-6-carboxamide",CSC1=NC(=C2C(=N1)N=C(C(=N2)C(=O)N)N)N,251.275,17,8,1,7,1,0,2,CSc1nc(N)c2nc(C(N)=O)c(N)nc2n1,False
234054,3-[2-[4-(3-chlorophenyl)piperazin-1-yl]ethoxy]propanenitrile,C1CN(CCN1CCOCCC#N)C2=CC(=CC=C2)Cl,293.798,20,15,1,3,0,1,1,N#CCCOCCN1CCN(c2cccc(Cl)c2)CC1,False
146317,methyl 3-(3-hydroxy-4-methoxyphenyl)prop-2-enoate,COC1=C(C=C(C=C1)C=CC(=O)OC)O,208.213,15,11,4,0,0,0,1,COC(=O)C=Cc1ccc(OC)c(O)c1,False
772247,N-(2-acetamidophenyl)-2-fluorobenzamide,CC(=O)NC1=CC=CC=C1NC(=O)C2=CC=CC=C2F,272.279,20,15,2,2,0,1,2,CC(=O)Nc1ccccc1NC(=O)c1ccccc1F,False
107474,(2-hydroxy-3-octylsulfanylpropyl)-trimethylazanium,CCCCCCCCSCC(C[N+](C)(C)C)O,262.48299999999995,17,14,1,1,1,0,0,CCCCCCCCSCC(O)C[N+](C)(C)C,False
709571,1-[(2-chlorophenyl)methyl]-2-methylbenzimidazole,CC1=NC2=CC=CC=C2N1CC3=CC=CC=C3Cl,256.736,18,15,0,2,0,1,3,Cc1nc2ccccc2n1Cc1ccccc1Cl,False
776647,2-[[benzyl(thiophen-2-ylmethyl)carbamothioyl]amino]acetic acid,C1=CC=C(C=C1)CN(CC2=CC=CS2)C(=S)NCC(=O)O,320.4390000000001,21,15,2,2,2,0,2,O=C(O)CNC(=S)N(Cc1ccccc1)Cc1cccs1,False
935519,4-[5-(2-methoxyphenoxy)tetrazol-1-yl]benzoic acid,COC1=CC=CC=C1OC2=NN=NN2C3=CC=C(C=C3)C(=O)O,312.285,23,15,4,4,0,0,3,COc1ccccc1Oc1nnnn1-c1ccc(C(=O)O)cc1,False
571859,N-methyl-N-phenylpyridine-2-carboxamide,CN(C1=CC=CC=C1)C(=O)C2=CC=CC=N2,212.252,16,13,1,2,0,0,2,CN(C(=O)c1ccccn1)c1ccccc1,False
