feature,importance
FractionCSP3,0.2808519799148793
BertzCT,0.10582310940989649
H_count,0.0902739878409232
TPSA,0.058688148055142345
NumHDonors,0.05189354632309447
NumHAcceptors,0.04615731794770141
NumAromaticRings,0.046033612065011234
O_count,0.044082103038027426
BalabanJ,0.03472187079061389
MolLogP,0.029482872924121776
NumRotatableBonds,0.027709810669634658
N_count,0.027046113793653844
MolWt,0.024448835255292636
C_count,0.024076928376086774
HeavyAtomCount,0.02370656474564476
RingCount,0.021980323641114078
LabuteASA,0.0213736299547626
S_count,0.0193709266282707
F_count,0.011815454525131204
Cl_count,0.010462864100997294
Br_count,0.0
I_count,0.0
